WAAS Subset Event Id,Local Event Date,Aircraft,Aircraft Operator,Event Location,Crew Fatalities,Crew Injured,Crew Aboard,PAX Fatalities,PAX Injuries,PAX Aboard
J1990003,1990-01-25,BOEING 707-320B,AVIANCA,"COVE NECK,  LONG ISLAND,  NEW YORK, US",8,1,9,65,80,149
J1990004,1990-02-14,AIRBUS A320-230,INDIAN AIRLINES,"HINDUSTAN AP.,  BANGALORE, IN",4,1,7,88,21,139
J1990014,1990-05-11,BOEING 737-300,PHILIPPINE AIRLINES,"NINOY AQUINO INTL. AP.,  MANILA, PH",0,0,6,8,0,113
J1990023,1990-10-02,BOEING 757-200,CHINA SOUTHERN AIRLINES,"BAIYUN AP.,  GUANGZHOU, CN",0,0,12,46,34,110
J1990024,1990-10-02,BOEING 737-200 ADV.,XIAMEN AIRLINES,"BAIYUN AP.,  GUANGZHOU, CN",7,2,9,75,16,93
J1990030,1990-11-14,DOUGLAS DC-9-32,ALITALIA,"MOUNT STADLERBERG, NR. ZURICH, CH",6,0,6,40,0,40
J1990035,1990-12-03,DOUGLAS DC-9-14,NORTHWEST AIRLINES,"WAYNE COUNTY AP.,  DETROIT,  MICHIGAN, US",1,0,4,7,10,40
J1991002,1991-02-01,BOEING 737-300,USAIR,"LOS ANGELES INTL. AP.,  LOS ANGELES,  CALIFORNIA, US",2,2,6,20,11,83
J1991006,1991-02-20,"BRITISH AEROSPACE 
146-200",LAN CHILE,"GUARDIAMARINA SANARTU,  PUERTO WILLIAMS,  NAVARINO ISLAND, CL",0,0,7,20,2,65
J1991009,1991-03-03,BOEING 737-200 ADV.,UNITED AIRLINES,"NR. COLORADO SPRINGS MUNICIPAL AP.,  COLORADO SPRINGS,  COLORADO, US",5,0,5,20,0,20
J1991011,1991-03-05,DOUGLAS DC-9-32,LAV - AEROPOSTAL,"MOUNT LA AGUADA, NR. VALESA, VE",5,0,5,40,0,40
J1991020,1991-05-26,BOEING 767-300ER,LAUDA AIR,"DAN CHANG DISTRICT, 177KM NW OF  BANGKOK, TH",10,0,10,213,0,213
J1991027,1991-06-26,BAC ONE-ELEVEN 400,OKADA AIR,"NR. SOKOTO, NG",0,0,5,4,7,48
J1991032,1991-07-11,DOUGLAS DC-8-61,NATIONAIR CANADA,"KING ABDULAZIZ INTL. AP.,  JEDDAH, SA",14,0,14,247,0,247
J1991034,1991-08-16,BOEING 737-200 ADV.,INDIAN AIRLINES,"THANGJING HILL, NR. IMPHAL, IN",6,0,6,63,0,63
J1992005,1992-01-20,AIRBUS A320-110,AIR INTER,"MONT SAINT ODILE, NR. STRASBOURG, FR",5,1,6,82,4,90
J1992021,1992-03-22,FOKKER F.28-4000,USAIR,"LA GUARDIA AP.,  NEW YORK,  NEW YORK, US",2,1,4,25,8,47
