"WAAS Subset Event Id","Local Event Date","Aircraft","Aircraft Operator","Event Location","Crew Fatalities","Crew Injured","Crew Aboard","PAX Fatalities","PAX Injuries","PAX Aboard"
"J1990003","25-JAN-90","BOEING 707-320B
","AVIANCA","COVE NECK,  LONG ISLAND,  NEW YORK, US","8","1","9","65","80","149"
"J1990004","14-FEB-90","AIRBUS A320-230
","INDIAN AIRLINES","HINDUSTAN AP.,  BANGALORE, IN","4","1","7","88","21","139"
"J1990014","11-MAY-90","BOEING 737-300
","PHILIPPINE AIRLINES","NINOY AQUINO INTL. AP.,  MANILA, PH","0","0","6","8","0","113"
"J1990023","02-OCT-90","BOEING 757-200
","CHINA SOUTHERN AIRLINES","BAIYUN AP.,  GUANGZHOU, CN","0","0","12","46","34","110"
"J1990024","02-OCT-90","BOEING 737-200 ADV.
","XIAMEN AIRLINES","BAIYUN AP.,  GUANGZHOU, CN","7","2","9","75","16","93"
"J1990030","14-NOV-90","DOUGLAS DC-9-32
","ALITALIA","MOUNT STADLERBERG, NR. ZURICH, CH","6","0","6","40","0","40"
"J1990035","03-DEC-90","DOUGLAS DC-9-14
","NORTHWEST AIRLINES","WAYNE COUNTY AP.,  DETROIT,  MICHIGAN, US","1","0","4","7","10","40"
"J1991002","01-FEB-91","BOEING 737-300
","USAIR","LOS ANGELES INTL. AP.,  LOS ANGELES,  CALIFORNIA, US","2","2","6","20","11","83"
"J1991006","20-FEB-91","BRITISH AEROSPACE 
146-200","LAN CHILE","GUARDIAMARINA SANARTU,  PUERTO WILLIAMS,  NAVARINO ISLAND, CL","0","0","7","20","2","65"
"J1991009","03-MAR-91","BOEING 737-200 ADV.
","UNITED AIRLINES","NR. COLORADO SPRINGS MUNICIPAL AP.,  COLORADO SPRINGS,  COLORADO, US","5","0","5","20","0","20"
"J1991011","05-MAR-91","DOUGLAS DC-9-32
","LAV - AEROPOSTAL","MOUNT LA AGUADA, NR. VALESA, VE","5","0","5","40","0","40"
"J1991020","26-MAY-91","BOEING 767-300ER
","LAUDA AIR","DAN CHANG DISTRICT, 177KM NW OF  BANGKOK, TH","10","0","10","213","0","213"
"J1991027","26-JUN-91","BAC ONE-ELEVEN 400
","OKADA AIR","NR. SOKOTO, NG","0","0","5","4","7","48"
"J1991032","11-JUL-91","DOUGLAS DC-8-61
","NATIONAIR CANADA","KING ABDULAZIZ INTL. AP.,  JEDDAH, SA","14","0","14","247","0","247"
"J1991034","16-AUG-91","BOEING 737-200 ADV.
","INDIAN AIRLINES","THANGJING HILL, NR. IMPHAL, IN","6","0","6","63","0","63"
"J1992005","20-JAN-92","AIRBUS A320-110
","AIR INTER","MONT SAINT ODILE, NR. STRASBOURG, FR","5","1","6","82","4","90"
"J1992021","22-MAR-92","FOKKER F.28-4000
","USAIR","LA GUARDIA AP.,  NEW YORK,  NEW YORK, US","2","1","4","25","8","47"
"J1992026","06-JUN-92","BOEING 737-200 ADV.
","COPA PANAMA","NR. TOCUTI, PA","7","0","7","40","0","40"
"J1992031","31-JUL-92","AIRBUS A310-300
","THAI INTERNATIONAL","MOUNT TALAKU SHIR, NR. KATHMANDU, NP","14","0","14","99","0","99"
"J1992036","28-SEP-92","AIRBUS A300 B4-200
","PAKISTAN INTERNATIONAL AIRLINES","NR. TRIBHUVAN INTL. AP.,  KATHMANDU, NP","12","0","12","155","0","155"
"J1992049","24-NOV-92","BOEING 737-300
","CHINA SOUTHERN AIRLINES","NR. GUILIN, CN","8","0","8","133","0","133"
"J1992055","21-DEC-92","DOUGLAS DC-10-30CF
","MARTINAIR HOLLAND","FARO AP.,  FARO, PT","2","2","13","54","104","327"
"J1992056","22-DEC-92","BOEING 727-200 ADV.
","LIBYAN ARAB AIRLINES","NR. TRIPOLI, LY","10","0","10","147","0","147"
"J1993004","05-MAR-93","FOKKER 100
","PALAIR MACEDONIAN","PETROVAC AP.,  SKOPJE, MK","4","0","5","79","13","92"
"J1993011","06-APR-93","DOUGLAS MD-11
","CHINA EASTERN AIRLINES","IN FLIGHT OFF SHEMYA,  ALEUTIAN ISLANDS,  ALASKA, US","0","1","16","2","14","248"
"J1993014","26-APR-93","BOEING 737-200 ADV.
","INDIAN AIRLINES","CHIKKALTHANA AP.,  AURANGABAD, IN","4","0","6","52","15","112"
"J1993017","19-MAY-93","BOEING 727-100
","SAM COLOMBIA","MT PARAMO FRONTINO, NR. MEDELLIN, CO","7","0","7","125","0","125"
"J1993023","01-JUL-93","FOKKER F.28-3000
","MERPATI NUSANTARA AIRLINES","NR. JEFMAN AP.,  SORONG,  IRIAN JAYA, ID","4","0","4","37","2","39"
"J1993028","23-JUL-93","BRITISH AEROSPACE 
146-300","CHINA NORTHWEST AIRLINES","YINCHUAN AP.,  YINCHUAN, CN","1","2","5","54","14","108"
"J1993030","26-JUL-93","BOEING 737-500
","ASIANA AIRLINES","NR. MOKPO, KR","4","2","6","64","24","104"
"J1993042","14-SEP-93","AIRBUS A320-210
","LUFTHANSA","OKECIE AP.,  WARSAW, PL","1","1","6","1","8","64"
"J1993044","26-OCT-93","DOUGLAS MD-82
","CHINA EASTERN AIRLINES","FUZHOU AP.,  FUZHOU,  FUJIAN PROVINCE, CN","0","1","9","2","12","71"
"J1993048","13-NOV-93","DOUGLAS MD-82
","CHINA NORTHERN AIRLINES","URUMQI AP.,  URUMQI,  XINJIANG, CN","4","0","10","8","7","92"
"J1994007","23-MAR-94","AIRBUS A310-300
","AEROFLOT RUSSIAN INTERNATIONAL AIRLINES","NR. MEZHDURECHENSK, 76KM E OF  NOVOKUZNETSK,  KEMEROSKOI, RU","12","0","12","63","0","63"
"J1994010","26-APR-94","AIRBUS A300-620R
","CHINA AIRLINES","KOMAKI AP.,  NAGOYA, JP","15","0","15","249","7","256"
"J1994018","01-JUL-94","FOKKER F.28-6000
","AIR MAURITANIE","TIDJIKJA AP.,  TIDJIKJA, MR","4","0","4","76","9","89"
"J1994019","02-JUL-94","DOUGLAS DC-9-31
","USAIR","CHARLOTTE-DOUGLAS INTL. AP.,  CHARLOTTE,  NORTH CAROLINA, US","0","2","5","37","14","52"
"J1994028","08-SEP-94","BOEING 737-300
","USAIR","ALIQUIPPA, 38KM NW OF  PITTSBURGH,  PENNSYLVANIA, US","5","0","5","127","0","127"
"J1994030","18-SEP-94","BAC ONE-ELEVEN 500
","ORIENTAL AIRLINES","AGUENAR AP.,  TAMANRASSET, DZ","3","4","7","2","30","32"
"J1994036","12-OCT-94","FOKKER F.28-1000
","IRAN ASSEMAN AIRLINES","KARKAS MOUNTAINS, NR. NATANZ, IR","7","0","7","59","0","59"
"J1994047","11-DEC-94","BOEING 747-200BM
","PHILIPPINE AIRLINES","NR. MINAMI DAITO ISLAND, 300KM E OF  OKINAWA, JP","0","0","20","1","0","273"
"J1994053","29-DEC-94","BOEING 737-400
","THY - TURKISH AIRLINES","NR. VAN AP.,  VAN, TR","5","2","7","52","17","69"
"J1994054","24-DEC-94","AIRBUS A300 B2-100
","AIR FRANCE","HOUARI BOUMEDIENE AP.,  ALGIERS, DZ","0","1","12","3","0","227"
"J1995002","11-JAN-95","DOUGLAS DC-9-14
","INTERCONTINENTAL COLOMBIA","MARIA LA BAJA, 40KM S OF  CARTAGENA, CO","5","0","5","46","1","47"
"J1995012","31-MAR-95","AIRBUS A310-320
","TAROM","NR. OTOPENI AP.,  BUCHAREST, RO","10","0","10","50","0","50"
"J1995014","20-DEC-95","BOEING 757-200
","AMERICAN AIRLINES","MT. EL DELUVIO, NR. BUGA, CO","8","0","8","152","4","156"
"J1995084","09-AUG-95","BOEING 737-200 ADV.
","AVIATECA","MT. CHICHONTEPEC, NR. SAN SALVADOR, SV","7","0","7","58","0","58"
"J1995090","13-NOV-95","BOEING 737-200 ADV.
","NIGERIA AIRWAYS","KADUNA AP.,  KADUNA, NG","0","0","8","9","4","129"
"J1995094","03-DEC-95","BOEING 737-200 ADV.
","CAMEROON AIRLINES","NR. DOUALA, CM","4","2","6","68","4","72"
"J1996006","06-FEB-96","BOEING 757-200
","BIRGENAIR","IN ATLANTIC OCEAN, 22KM N OF  PUERTO PLATA, DO","13","0","13","176","0","176"
"J1996007","29-FEB-96","BOEING 737-200
","FAUCETT","NR. RODRIQUEZ BALLON AP.,  AREQUIPA, PE","6","0","6","117","0","117"
"J19960077","05-SEP-96","BOEING 747-400
","AIR FRANCE","NR. OUAGADOUGOU, BF","0","0","18","1","2","206"
"J1996014","11-MAY-96","DOUGLAS DC-9-32
","VALUJET","IN EVERGLADES, 25KM W OF  OPA LOCKA,  FLORIDA, US","5","0","5","105","0","105"
"J1996024","13-JUN-96","DOUGLAS DC-10-30
","GARUDA INDONESIA","FUKUOKA AP.,  FUKUOKA,  FUKUOKA PREFECTURE, JP","0","2","15","3","16","260"
"J1996025","17-JUL-96","BOEING 747-100
","TRANS WORLD AIRLINES","OFF MORICHES INLET, NR. MASTIC BEACH,  NEW YORK, US","18","0","18","212","0","212"
"J1996027","06-JUL-96","DOUGLAS MD-88
","DELTA AIR LINES","PENSACOLA REGIONAL AP.,  PENSACOLA,  FLORIDA, US","0","0","5","2","2","137"
"J1996031","02-OCT-96","BOEING 757-200
","AERO PERU","IN SEA, OFF ANCON, PE","9","0","9","61","0","61"
"J1996038","31-OCT-96","FOKKER 100
","TAM - TRANSPORTES AÉREOS REGIONAIS SA","PARQUE JABAQUARA DISTRICT,  SAO PAULO, BR","6","0","6","89","0","89"
"J1996039","12-NOV-96","BOEING 747-100B
","SAUDI ARABIAN AIRLINES","NR. CHARKHI DADRI, 83KM W OF  DELHI, IN","23","0","23","289","0","289"
"J1996040","07-NOV-96","BOEING 727-200
","ADC AIRLINES","EJIRIN LAGOON, 40KM ENE OF  LAGOS, NG","9","0","9","134","0","134"
